time_stamp,AQHI from WN,humidity,temperature,pressure,voc,pm2.5_alt,2.5_um_count,pm2.5_atm,pm2.5_cf_1
2023-06-24T21:00:00-04:00,4,39,85,979.95,,14.7,13.39,23.1,23.2
2023-06-24T21:10:00-04:00,4,40,84,980,,15.2,14.92,24.4,24.4
2023-06-24T21:20:00-04:00,4,40,83,980.04,,15.4,13.06,24.4,24.4
2023-06-24T21:30:00-04:00,4,40,82,980.19,,16.1,13,25.5,25.5
2023-06-24T21:40:00-04:00,4,41,81,980.45,,17.1,15.46,27.3,27.5
2023-06-24T21:50:00-04:00,4,42,81,980.52,,17.4,18.01,27.9,28.2
2023-06-24T22:00:00-04:00,3,42,81,980.55,,17.4,15.4,27.5,27.6
2023-06-24T22:10:00-04:00,3,43,80,980.64,,18.1,17.39,28.8,29.1
2023-06-24T22:20:00-04:00,3,44,80,980.66,,18.3,18.98,29.5,29.9
2023-06-24T22:30:00-04:00,3,44,80,980.69,,18.5,20.07,29.3,29.8
2023-06-24T22:40:00-04:00,3,44,79,980.74,,19.1,22.76,30.6,31.6
2023-06-24T22:50:00-04:00,3,44,79,980.67,,19.3,20.8,30.8,31.9
2023-06-24T23:00:00-04:00,3,44,78,980.65,,19.5,22.1,30.8,31.9
2023-06-24T23:10:00-04:00,3,45,78,980.7,,19.2,19.45,30.6,31.5
2023-06-24T23:20:00-04:00,3,46,77,980.84,,18.9,22.46,30.4,31.2
2023-06-24T23:30:00-04:00,3,48,76,980.78,,20.4,22.39,31.8,33.7
2023-06-24T23:40:00-04:00,3,47,76,980.74,,28.7,30.3,40.1,48.1
2023-06-24T23:50:00-04:00,3,48,76,980.65,,35.1,36.39,45,58.9
2023-06-25T00:00:00-04:00,3,48,76,980.61,,35.1,35.96,45.3,59.5
2023-06-25T00:10:00-04:00,3,49,75,980.64,,35.4,37.16,45.5,60.2
2023-06-25T00:20:00-04:00,3,49,75,980.61,,39.1,40.04,47.8,65.7
2023-06-25T00:30:00-04:00,3,49,75,980.65,,45.6,46.54,51.9,76.7
2023-06-25T00:40:00-04:00,3,48,74,980.61,,55,56.32,61.1,92.8
2023-06-25T00:50:00-04:00,3,48,74,980.57,,66.5,65.43,73.9,111.9
2023-06-25T01:00:00-04:00,3,47,74,980.6,,78.3,74.91,86.5,130.9
2023-06-25T01:10:00-04:00,3,46,74,980.57,,85.7,83.59,95.2,143.9
2023-06-25T01:20:00-04:00,3,46,74,980.57,,93.8,87.55,103.6,156.6
2023-06-25T01:30:00-04:00,3,46,73,980.53,,100.3,98.05,111.5,168.4
2023-06-25T01:40:00-04:00,3,46,73,980.41,,107,102.36,117.7,177.7
2023-06-25T01:50:00-04:00,3,46,73,980.48,,115.5,109.97,127.3,192.1
2023-06-25T02:00:00-04:00,5,45,73,980.46,,127.8,121.72,140.1,211.3
2023-06-25T02:10:00-04:00,5,45,73,980.51,,134,132.33,147.5,222.4
2023-06-25T02:20:00-04:00,5,45,72,980.57,,140.7,141.48,155.2,233.8
2023-06-25T02:30:00-04:00,5,44,72,980.54,,144.1,146.34,158.9,239.5
2023-06-25T02:40:00-04:00,5,45,72,980.39,,145.5,141.1,159.3,240
2023-06-25T02:50:00-04:00,5,45,72,980.34,,148,145.56,162.6,245
2023-06-25T03:00:00-04:00,7,45,72,980.22,,154.2,154.24,169.6,255.6
2023-06-25T03:10:00-04:00,7,44,72,980.08,,158.6,158.05,173.4,261.2
2023-06-25T03:20:00-04:00,7,44,72,979.99,,161.6,160.27,176.6,265.9
2023-06-25T03:30:00-04:00,7,44,71,979.91,,161.1,164.77,176.6,265.9
2023-06-25T03:40:00-04:00,7,44,72,980.09,,160.2,160.76,175,263.6
2023-06-25T03:50:00-04:00,7,44,71,980.23,,164.8,166.72,179.5,270.4
2023-06-25T04:00:00-04:00,9,44,71,980.1,,167.8,177.54,183.5,276.4
2023-06-25T04:10:00-04:00,9,44,71,980.11,,171.7,178.48,186.8,281.3
2023-06-25T04:20:00-04:00,9,44,71,980.22,,171,180.6,186.7,281.2
2023-06-25T04:30:00-04:00,9,44,71,980.34,,170.4,181.96,186.5,280.9
2023-06-25T04:40:00-04:00,9,45,70,980.45,,171.6,177.58,186.3,280.7
